CE_Event_Counter,Coalescence_Time,Eccentricity@DCO,Immediate_RLOF>CE,MT_Donor_Hist(1),MT_Donor_Hist(2),Mass(1),Mass(2),Merges_Hubble_Time,Metallicity@ZAMS(1),Optimistic_CE,Record_Type,Recycled_NS(1),Recycled_NS(2),SEED,SemiMajorAxis@DCO,Stellar_Type(1),Stellar_Type(2),Time,mixture_weight
0,1.3186724193193736e+18,0.9134209152551533,0,b'NA              ',b'NA              ',10.459819885204036,8.482785046294358,0,0.0003602858161275879,0,1,0.0,0.0,43,1336.6145684748064,14,14,9.73941869368612,10.0
0,3.624468640548446e+16,2.3714374201337736e-16,0,b'NA              ',b'NA              ',28.88531072701651,16.62472172943919,0,0.001622273306300315,0,1,0.0,0.0,52,222.5971467421165,14,14,5.297461280151959,10.0
0,2.6507650064300333e+20,0.1692381694631827,0,b'NA              ',b'NA              ',12.762462339743022,11.971809617539087,0,0.0028798326997962784,0,1,0.0,0.0,70,1361.626335116082,14,14,7.190345631525836,10.0
0,2.888668914785027e+17,0.6036533141781403,0,b'NA              ',b'NA              ',15.414209344992932,11.071106046007387,0,0.0002702810958709705,0,1,0.0,0.0,90,374.80078619372614,14,14,7.631813116344758,10.0
0,9.44930567077572e+21,0.5251794433967548,0,b'NA              ',b'NA              ',15.417286884906726,7.682712778980169,0,0.012453674373786229,0,1,0.0,0.0,626,3967.7239358898482,14,14,9.508827131931598,10.0
0,3.630661951364901e+16,5.551115123125783e-16,0,b'NA              ',b'NA              ',17.960143106242988,14.815756956020216,0,0.001435388300989203,0,1,0.0,0.0,797,176.99760213397383,14,14,5.703533949315982,10.0
0,1.7761112475447386e+21,0.22528538127953562,0,b'NA              ',b'NA              ',13.099335596816656,11.608472765856705,0,0.015413894581372526,0,1,0.0,0.0,988,2232.026834752392,14,14,6.6542380721869865,10.0
0,668694543.1369023,2.220446049250313e-16,0,b'2               ',b'2               ',15.625935380057681,9.385003345902671,0,0.019402006183354827,0,1,0.0,0.0,1103,1.6604791243629713,14,14,7.166907248159997,9.999999999999998
0,212432371217.86383,4.577566798522237e-16,0,b'2               ',b'2               ',25.997899057934827,27.945318300893188,0,0.0025331826949270956,0,1,0.0,0.0,1415,12.674331945987195,14,14,4.693992457512992,10.0
0,1.3180048322279186e+18,0.07558819754400903,0,b'NA              ',b'NA              ',43.627035217079154,17.84413455368482,0,0.000385700480217914,0,1,0.0,0.0,1465,668.2842250372788,14,14,5.240835588510925,10.0
